	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
5	104	20	0.19230769230769232	$\alpha$=0.05 (BH-adj)	5.0	data_2	20_sources
6	125	21	0.168	$\alpha$=0.05 (BH-adj)	6.0	data_2	20_sources
7	146	23	0.15753424657534246	$\alpha$=0.05 (BH-adj)	7.0	data_2	20_sources
8	167	24	0.1437125748502994	$\alpha$=0.05 (BH-adj)	8.0	data_2	20_sources
9	188	27	0.14361702127659576	$\alpha$=0.05 (BH-adj)	9.0	data_2	20_sources
10	209	31	0.14832535885167464	$\alpha$=0.05 (BH-adj)	10.0	data_2	20_sources
11	313	35	0.11182108626198083	$\alpha$=0.05 (BH-adj)	15.0	data_2	20_sources
12	418	42	0.10047846889952153	$\alpha$=0.05 (BH-adj)	20.0	data_2	20_sources
13	1045	80	0.07655502392344497	$\alpha$=0.05 (BH-adj)	50.0	data_2	20_sources
14	1568	98	0.0625	$\alpha$=0.05 (BH-adj)	75.0	data_2	20_sources
15	2091	135	0.06456241032998565	$\alpha$=0.05 (BH-adj)	100.0	data_2	20_sources
0	33	6	0.18181818181818182	unfiltered	0.5	data_2	20_sources
1	67	13	0.19402985074626866	unfiltered	1.0	data_2	20_sources
2	135	23	0.17037037037037037	unfiltered	2.0	data_2	20_sources
3	203	30	0.1477832512315271	unfiltered	3.0	data_2	20_sources
4	270	33	0.12222222222222222	unfiltered	4.0	data_2	20_sources
5	338	36	0.10650887573964497	unfiltered	5.0	data_2	20_sources
6	406	41	0.10098522167487685	unfiltered	6.0	data_2	20_sources
7	474	44	0.09282700421940929	unfiltered	7.0	data_2	20_sources
8	541	47	0.08687615526802218	unfiltered	8.0	data_2	20_sources
9	609	55	0.090311986863711	unfiltered	9.0	data_2	20_sources
10	677	61	0.09010339734121123	unfiltered	10.0	data_2	20_sources
11	1016	78	0.07677165354330709	unfiltered	15.0	data_2	20_sources
12	1354	92	0.06794682422451995	unfiltered	20.0	data_2	20_sources
13	3387	201	0.05934455270150576	unfiltered	50.0	data_2	20_sources
14	5080	277	0.05452755905511811	unfiltered	75.0	data_2	20_sources
15	6774	332	0.04901092412164157	unfiltered	100.0	data_2	20_sources
0	17	4	0.23529411764705882	$\alpha$=0.05	0.5	data_3	20_sources
1	34	6	0.17647058823529413	$\alpha$=0.05	1.0	data_3	20_sources
2	69	8	0.11594202898550725	$\alpha$=0.05	2.0	data_3	20_sources
3	103	13	0.1262135922330097	$\alpha$=0.05	3.0	data_3	20_sources
4	138	18	0.13043478260869565	$\alpha$=0.05	4.0	data_3	20_sources
5	173	21	0.12138728323699421	$\alpha$=0.05	5.0	data_3	20_sources
6	207	25	0.12077294685990338	$\alpha$=0.05	6.0	data_3	20_sources
7	242	34	0.14049586776859505	$\alpha$=0.05	7.0	data_3	20_sources
8	276	35	0.12681159420289856	$\alpha$=0.05	8.0	data_3	20_sources
9	311	39	0.12540192926045016	$\alpha$=0.05	9.0	data_3	20_sources
10	346	46	0.1329479768786127	$\alpha$=0.05	10.0	data_3	20_sources
11	519	63	0.12138728323699421	$\alpha$=0.05	15.0	data_3	20_sources
12	692	80	0.11560693641618497	$\alpha$=0.05	20.0	data_3	20_sources
13	1730	149	0.0861271676300578	$\alpha$=0.05	50.0	data_3	20_sources
14	2595	185	0.07129094412331406	$\alpha$=0.05	75.0	data_3	20_sources
15	3461	218	0.06298757584513147	$\alpha$=0.05	100.0	data_3	20_sources
0	14	3	0.21428571428571427	$\alpha$=0.05 (BH-adj)	0.5	data_3	20_sources
1	28	5	0.17857142857142858	$\alpha$=0.05 (BH-adj)	1.0	data_3	20_sources
2	56	7	0.125	$\alpha$=0.05 (BH-adj)	2.0	data_3	20_sources
3	84	10	0.11904761904761904	$\alpha$=0.05 (BH-adj)	3.0	data_3	20_sources
4	113	13	0.11504424778761062	$\alpha$=0.05 (BH-adj)	4.0	data_3	20_sources
5	141	18	0.1276595744680851	$\alpha$=0.05 (BH-adj)	5.0	data_3	20_sources
6	169	21	0.1242603550295858	$\alpha$=0.05 (BH-adj)	6.0	data_3	20_sources
7	198	24	0.12121212121212122	$\alpha$=0.05 (BH-adj)	7.0	data_3	20_sources
8	226	29	0.12831858407079647	$\alpha$=0.05 (BH-adj)	8.0	data_3	20_sources
9	254	34	0.13385826771653545	$\alpha$=0.05 (BH-adj)	9.0	data_3	20_sources
10	283	36	0.127208480565371	$\alpha$=0.05 (BH-adj)	10.0	data_3	20_sources
11	424	50	0.1179245283018868	$\alpha$=0.05 (BH-adj)	15.0	data_3	20_sources
12	566	69	0.12190812720848057	$\alpha$=0.05 (BH-adj)	20.0	data_3	20_sources
13	1416	130	0.09180790960451977	$\alpha$=0.05 (BH-adj)	50.0	data_3	20_sources
14	2124	167	0.07862523540489642	$\alpha$=0.05 (BH-adj)	75.0	data_3	20_sources
15	2832	198	0.06991525423728813	$\alpha$=0.05 (BH-adj)	100.0	data_3	20_sources
0	32	6	0.1875	unfiltered	0.5	data_3	20_sources
1	65	7	0.1076923076923077	unfiltered	1.0	data_3	20_sources
2	131	18	0.13740458015267176	unfiltered	2.0	data_3	20_sources
3	197	24	0.1218274111675127	unfiltered	3.0	data_3	20_sources
4	263	34	0.12927756653992395	unfiltered	4.0	data_3	20_sources
5	328	44	0.13414634146341464	unfiltered	5.0	data_3	20_sources
6	394	49	0.12436548223350254	unfiltered	6.0	data_3	20_sources
7	460	54	0.11739130434782609	unfiltered	7.0	data_3	20_sources
8	526	64	0.12167300380228137	unfiltered	8.0	data_3	20_sources
9	592	72	0.12162162162162163	unfiltered	9.0	data_3	20_sources
10	657	77	0.1171993911719939	unfiltered	10.0	data_3	20_sources
11	986	103	0.10446247464503043	unfiltered	15.0	data_3	20_sources
12	1315	123	0.0935361216730038	unfiltered	20.0	data_3	20_sources
13	3289	212	0.06445728184858619	unfiltered	50.0	data_3	20_sources
14	4933	269	0.054530711534563146	unfiltered	75.0	data_3	20_sources
15	6578	327	0.049711158406810584	unfiltered	100.0	data_3	20_sources
0	11	1	0.09090909090909091	$\alpha$=0.05	0.5	data_4	20_sources
1	22	1	0.045454545454545456	$\alpha$=0.05	1.0	data_4	20_sources
2	45	5	0.1111111111111111	$\alpha$=0.05	2.0	data_4	20_sources
3	67	9	0.13432835820895522	$\alpha$=0.05	3.0	data_4	20_sources
4	90	11	0.12222222222222222	$\alpha$=0.05	4.0	data_4	20_sources
5	112	12	0.10714285714285714	$\alpha$=0.05	5.0	data_4	20_sources
6	135	13	0.0962962962962963	$\alpha$=0.05	6.0	data_4	20_sources
7	157	15	0.09554140127388536	$\alpha$=0.05	7.0	data_4	20_sources
8	180	18	0.1	$\alpha$=0.05	8.0	data_4	20_sources
9	202	21	0.10396039603960396	$\alpha$=0.05	9.0	data_4	20_sources
10	225	23	0.10222222222222223	$\alpha$=0.05	10.0	data_4	20_sources
11	338	38	0.11242603550295859	$\alpha$=0.05	15.0	data_4	20_sources
12	451	48	0.10643015521064302	$\alpha$=0.05	20.0	data_4	20_sources
13	1127	84	0.07453416149068323	$\alpha$=0.05	50.0	data_4	20_sources
14	1691	112	0.06623299822590184	$\alpha$=0.05	75.0	data_4	20_sources
15	2255	134	0.05942350332594235	$\alpha$=0.05	100.0	data_4	20_sources
0	8	1	0.125	$\alpha$=0.05 (BH-adj)	0.5	data_4	20_sources
1	17	1	0.058823529411764705	$\alpha$=0.05 (BH-adj)	1.0	data_4	20_sources
2	35	3	0.08571428571428572	$\alpha$=0.05 (BH-adj)	2.0	data_4	20_sources
3	53	7	0.1320754716981132	$\alpha$=0.05 (BH-adj)	3.0	data_4	20_sources
4	71	9	0.1267605633802817	$\alpha$=0.05 (BH-adj)	4.0	data_4	20_sources
5	89	11	0.12359550561797752	$\alpha$=0.05 (BH-adj)	5.0	data_4	20_sources
6	106	12	0.11320754716981132	$\alpha$=0.05 (BH-adj)	6.0	data_4	20_sources
7	124	12	0.0967741935483871	$\alpha$=0.05 (BH-adj)	7.0	data_4	20_sources
8	142	14	0.09859154929577464	$\alpha$=0.05 (BH-adj)	8.0	data_4	20_sources
9	160	15	0.09375	$\alpha$=0.05 (BH-adj)	9.0	data_4	20_sources
10	178	18	0.10112359550561797	$\alpha$=0.05 (BH-adj)	10.0	data_4	20_sources
11	267	27	0.10112359550561797	$\alpha$=0.05 (BH-adj)	15.0	data_4	20_sources
12	356	40	0.11235955056179775	$\alpha$=0.05 (BH-adj)	20.0	data_4	20_sources
13	890	69	0.07752808988764046	$\alpha$=0.05 (BH-adj)	50.0	data_4	20_sources
14	1335	100	0.0749063670411985	$\alpha$=0.05 (BH-adj)	75.0	data_4	20_sources
15	1780	114	0.06404494382022471	$\alpha$=0.05 (BH-adj)	100.0	data_4	20_sources
0	20	1	0.05	unfiltered	0.5	data_4	20_sources
1	41	5	0.12195121951219512	unfiltered	1.0	data_4	20_sources
2	83	11	0.13253012048192772	unfiltered	2.0	data_4	20_sources
3	125	12	0.096	unfiltered	3.0	data_4	20_sources
4	167	15	0.08982035928143713	unfiltered	4.0	data_4	20_sources
5	208	21	0.10096153846153846	unfiltered	5.0	data_4	20_sources
6	250	27	0.108	unfiltered	6.0	data_4	20_sources
7	292	33	0.11301369863013698	unfiltered	7.0	data_4	20_sources
8	334	38	0.11377245508982035	unfiltered	8.0	data_4	20_sources
9	376	42	0.11170212765957446	unfiltered	9.0	data_4	20_sources
10	417	46	0.11031175059952038	unfiltered	10.0	data_4	20_sources
11	626	61	0.09744408945686901	unfiltered	15.0	data_4	20_sources
12	835	68	0.081437125748503	unfiltered	20.0	data_4	20_sources
13	2089	128	0.061273336524652944	unfiltered	50.0	data_4	20_sources
14	3134	161	0.05137204850031908	unfiltered	75.0	data_4	20_sources
15	4179	184	0.044029672170375685	unfiltered	100.0	data_4	20_sources
0	15	2	0.13333333333333333	$\alpha$=0.05	0.5	data_5	20_sources
1	30	4	0.13333333333333333	$\alpha$=0.05	1.0	data_5	20_sources
2	60	11	0.18333333333333332	$\alpha$=0.05	2.0	data_5	20_sources
3	91	17	0.18681318681318682	$\alpha$=0.05	3.0	data_5	20_sources
4	121	23	0.19008264462809918	$\alpha$=0.05	4.0	data_5	20_sources
5	151	32	0.2119205298013245	$\alpha$=0.05	5.0	data_5	20_sources
6	182	35	0.19230769230769232	$\alpha$=0.05	6.0	data_5	20_sources
7	212	37	0.17452830188679244	$\alpha$=0.05	7.0	data_5	20_sources
8	242	40	0.1652892561983471	$\alpha$=0.05	8.0	data_5	20_sources
9	273	42	0.15384615384615385	$\alpha$=0.05	9.0	data_5	20_sources
10	303	44	0.14521452145214522	$\alpha$=0.05	10.0	data_5	20_sources
11	455	65	0.14285714285714285	$\alpha$=0.05	15.0	data_5	20_sources
12	607	84	0.13838550247116968	$\alpha$=0.05	20.0	data_5	20_sources
13	1517	139	0.09162821357943308	$\alpha$=0.05	50.0	data_5	20_sources
14	2276	171	0.07513181019332162	$\alpha$=0.05	75.0	data_5	20_sources
15	3035	196	0.06457990115321252	$\alpha$=0.05	100.0	data_5	20_sources
0	12	2	0.16666666666666666	$\alpha$=0.05 (BH-adj)	0.5	data_5	20_sources
1	24	3	0.125	$\alpha$=0.05 (BH-adj)	1.0	data_5	20_sources
2	49	8	0.16326530612244897	$\alpha$=0.05 (BH-adj)	2.0	data_5	20_sources
3	73	15	0.2054794520547945	$\alpha$=0.05 (BH-adj)	3.0	data_5	20_sources
4	98	20	0.20408163265306123	$\alpha$=0.05 (BH-adj)	4.0	data_5	20_sources
5	123	23	0.18699186991869918	$\alpha$=0.05 (BH-adj)	5.0	data_5	20_sources
6	147	30	0.20408163265306123	$\alpha$=0.05 (BH-adj)	6.0	data_5	20_sources
7	172	34	0.19767441860465115	$\alpha$=0.05 (BH-adj)	7.0	data_5	20_sources
8	197	37	0.18781725888324874	$\alpha$=0.05 (BH-adj)	8.0	data_5	20_sources
9	221	37	0.167420814479638	$\alpha$=0.05 (BH-adj)	9.0	data_5	20_sources
10	246	40	0.16260162601626016	$\alpha$=0.05 (BH-adj)	10.0	data_5	20_sources
11	369	52	0.14092140921409213	$\alpha$=0.05 (BH-adj)	15.0	data_5	20_sources
12	493	68	0.13793103448275862	$\alpha$=0.05 (BH-adj)	20.0	data_5	20_sources
13	1233	131	0.10624493106244931	$\alpha$=0.05 (BH-adj)	50.0	data_5	20_sources
14	1849	151	0.08166576527852894	$\alpha$=0.05 (BH-adj)	75.0	data_5	20_sources
15	2466	170	0.0689375506893755	$\alpha$=0.05 (BH-adj)	100.0	data_5	20_sources
0	28	4	0.14285714285714285	unfiltered	0.5	data_5	20_sources
1	57	10	0.17543859649122806	unfiltered	1.0	data_5	20_sources
2	115	23	0.2	unfiltered	2.0	data_5	20_sources
3	173	34	0.19653179190751446	unfiltered	3.0	data_5	20_sources
4	231	40	0.17316017316017315	unfiltered	4.0	data_5	20_sources
5	288	43	0.14930555555555555	unfiltered	5.0	data_5	20_sources
6	346	48	0.13872832369942195	unfiltered	6.0	data_5	20_sources
7	404	57	0.14108910891089108	unfiltered	7.0	data_5	20_sources
8	462	67	0.14502164502164502	unfiltered	8.0	data_5	20_sources
9	519	71	0.13680154142581888	unfiltered	9.0	data_5	20_sources
10	577	79	0.1369150779896014	unfiltered	10.0	data_5	20_sources
11	866	111	0.12817551963048499	unfiltered	15.0	data_5	20_sources
12	1155	127	0.10995670995670996	unfiltered	20.0	data_5	20_sources
13	2888	196	0.06786703601108034	unfiltered	50.0	data_5	20_sources
14	4332	243	0.05609418282548476	unfiltered	75.0	data_5	20_sources
15	5777	294	0.05089146615890601	unfiltered	100.0	data_5	20_sources
0	11	4	0.36363636363636365	$\alpha$=0.05	0.5	data_6	20_sources
1	23	5	0.21739130434782608	$\alpha$=0.05	1.0	data_6	20_sources
2	46	6	0.13043478260869565	$\alpha$=0.05	2.0	data_6	20_sources
3	69	7	0.10144927536231885	$\alpha$=0.05	3.0	data_6	20_sources
4	93	11	0.11827956989247312	$\alpha$=0.05	4.0	data_6	20_sources
5	116	13	0.11206896551724138	$\alpha$=0.05	5.0	data_6	20_sources
6	139	17	0.1223021582733813	$\alpha$=0.05	6.0	data_6	20_sources
7	163	18	0.11042944785276074	$\alpha$=0.05	7.0	data_6	20_sources
8	186	20	0.10752688172043011	$\alpha$=0.05	8.0	data_6	20_sources
9	209	20	0.09569377990430622	$\alpha$=0.05	9.0	data_6	20_sources
10	233	22	0.0944206008583691	$\alpha$=0.05	10.0	data_6	20_sources
11	349	41	0.1174785100286533	$\alpha$=0.05	15.0	data_6	20_sources
12	466	52	0.11158798283261803	$\alpha$=0.05	20.0	data_6	20_sources
13	1165	89	0.07639484978540773	$\alpha$=0.05	50.0	data_6	20_sources
14	1747	113	0.06468231253577561	$\alpha$=0.05	75.0	data_6	20_sources
15	2330	131	0.056223175965665236	$\alpha$=0.05	100.0	data_6	20_sources
0	8	4	0.5	$\alpha$=0.05 (BH-adj)	0.5	data_6	20_sources
1	17	5	0.29411764705882354	$\alpha$=0.05 (BH-adj)	1.0	data_6	20_sources
2	34	5	0.14705882352941177	$\alpha$=0.05 (BH-adj)	2.0	data_6	20_sources
3	51	6	0.11764705882352941	$\alpha$=0.05 (BH-adj)	3.0	data_6	20_sources
4	69	7	0.10144927536231885	$\alpha$=0.05 (BH-adj)	4.0	data_6	20_sources
5	86	9	0.10465116279069768	$\alpha$=0.05 (BH-adj)	5.0	data_6	20_sources
6	103	12	0.11650485436893204	$\alpha$=0.05 (BH-adj)	6.0	data_6	20_sources
7	120	13	0.10833333333333334	$\alpha$=0.05 (BH-adj)	7.0	data_6	20_sources
8	138	16	0.11594202898550725	$\alpha$=0.05 (BH-adj)	8.0	data_6	20_sources
9	155	17	0.10967741935483871	$\alpha$=0.05 (BH-adj)	9.0	data_6	20_sources
10	172	19	0.11046511627906977	$\alpha$=0.05 (BH-adj)	10.0	data_6	20_sources
11	259	28	0.10810810810810811	$\alpha$=0.05 (BH-adj)	15.0	data_6	20_sources
12	345	41	0.11884057971014493	$\alpha$=0.05 (BH-adj)	20.0	data_6	20_sources
13	864	82	0.09490740740740741	$\alpha$=0.05 (BH-adj)	50.0	data_6	20_sources
14	1296	94	0.07253086419753087	$\alpha$=0.05 (BH-adj)	75.0	data_6	20_sources
15	1728	110	0.06365740740740741	$\alpha$=0.05 (BH-adj)	100.0	data_6	20_sources
0	24	5	0.20833333333333334	unfiltered	0.5	data_6	20_sources
1	49	6	0.12244897959183673	unfiltered	1.0	data_6	20_sources
2	99	12	0.12121212121212122	unfiltered	2.0	data_6	20_sources
3	149	17	0.11409395973154363	unfiltered	3.0	data_6	20_sources
4	199	20	0.10050251256281408	unfiltered	4.0	data_6	20_sources
5	249	26	0.10441767068273092	unfiltered	5.0	data_6	20_sources
6	298	31	0.1040268456375839	unfiltered	6.0	data_6	20_sources
7	348	41	0.11781609195402298	unfiltered	7.0	data_6	20_sources
8	398	44	0.11055276381909548	unfiltered	8.0	data_6	20_sources
9	448	52	0.11607142857142858	unfiltered	9.0	data_6	20_sources
10	498	55	0.11044176706827309	unfiltered	10.0	data_6	20_sources
11	747	77	0.10307898259705489	unfiltered	15.0	data_6	20_sources
12	996	84	0.08433734939759036	unfiltered	20.0	data_6	20_sources
13	2490	138	0.05542168674698795	unfiltered	50.0	data_6	20_sources
14	3735	199	0.05327978580990629	unfiltered	75.0	data_6	20_sources
15	4980	233	0.04678714859437751	unfiltered	100.0	data_6	20_sources
0	14	1	0.07142857142857142	$\alpha$=0.05	0.5	data_7	20_sources
1	29	4	0.13793103448275862	$\alpha$=0.05	1.0	data_7	20_sources
2	59	8	0.13559322033898305	$\alpha$=0.05	2.0	data_7	20_sources
3	89	12	0.1348314606741573	$\alpha$=0.05	3.0	data_7	20_sources
4	119	17	0.14285714285714285	$\alpha$=0.05	4.0	data_7	20_sources
5	149	21	0.14093959731543623	$\alpha$=0.05	5.0	data_7	20_sources
6	179	26	0.1452513966480447	$\alpha$=0.05	6.0	data_7	20_sources
7	209	30	0.14354066985645933	$\alpha$=0.05	7.0	data_7	20_sources
8	238	34	0.14285714285714285	$\alpha$=0.05	8.0	data_7	20_sources
9	268	35	0.13059701492537312	$\alpha$=0.05	9.0	data_7	20_sources
10	298	39	0.13087248322147652	$\alpha$=0.05	10.0	data_7	20_sources
11	448	55	0.12276785714285714	$\alpha$=0.05	15.0	data_7	20_sources
12	597	67	0.11222780569514237	$\alpha$=0.05	20.0	data_7	20_sources
13	1493	122	0.08171466845277964	$\alpha$=0.05	50.0	data_7	20_sources
14	2240	151	0.06741071428571428	$\alpha$=0.05	75.0	data_7	20_sources
15	2987	188	0.06293940408436559	$\alpha$=0.05	100.0	data_7	20_sources
0	13	1	0.07692307692307693	$\alpha$=0.05 (BH-adj)	0.5	data_7	20_sources
1	27	4	0.14814814814814814	$\alpha$=0.05 (BH-adj)	1.0	data_7	20_sources
2	54	8	0.14814814814814814	$\alpha$=0.05 (BH-adj)	2.0	data_7	20_sources
3	81	10	0.12345679012345678	$\alpha$=0.05 (BH-adj)	3.0	data_7	20_sources
4	109	15	0.13761467889908258	$\alpha$=0.05 (BH-adj)	4.0	data_7	20_sources
5	136	19	0.13970588235294118	$\alpha$=0.05 (BH-adj)	5.0	data_7	20_sources
6	163	24	0.147239263803681	$\alpha$=0.05 (BH-adj)	6.0	data_7	20_sources
7	190	27	0.14210526315789473	$\alpha$=0.05 (BH-adj)	7.0	data_7	20_sources
8	218	30	0.13761467889908258	$\alpha$=0.05 (BH-adj)	8.0	data_7	20_sources
9	245	34	0.13877551020408163	$\alpha$=0.05 (BH-adj)	9.0	data_7	20_sources
10	272	35	0.12867647058823528	$\alpha$=0.05 (BH-adj)	10.0	data_7	20_sources
11	409	50	0.12224938875305623	$\alpha$=0.05 (BH-adj)	15.0	data_7	20_sources
12	545	66	0.12110091743119267	$\alpha$=0.05 (BH-adj)	20.0	data_7	20_sources
13	1364	115	0.08431085043988269	$\alpha$=0.05 (BH-adj)	50.0	data_7	20_sources
14	2046	139	0.06793743890518084	$\alpha$=0.05 (BH-adj)	75.0	data_7	20_sources
15	2728	173	0.06341642228739003	$\alpha$=0.05 (BH-adj)	100.0	data_7	20_sources
0	25	3	0.12	unfiltered	0.5	data_7	20_sources
1	51	8	0.1568627450980392	unfiltered	1.0	data_7	20_sources
2	102	14	0.13725490196078433	unfiltered	2.0	data_7	20_sources
3	153	21	0.13725490196078433	unfiltered	3.0	data_7	20_sources
4	204	30	0.14705882352941177	unfiltered	4.0	data_7	20_sources
5	255	34	0.13333333333333333	unfiltered	5.0	data_7	20_sources
6	306	40	0.13071895424836602	unfiltered	6.0	data_7	20_sources
7	357	47	0.13165266106442577	unfiltered	7.0	data_7	20_sources
8	408	50	0.12254901960784313	unfiltered	8.0	data_7	20_sources
9	459	56	0.12200435729847495	unfiltered	9.0	data_7	20_sources
10	511	64	0.12524461839530332	unfiltered	10.0	data_7	20_sources
11	766	77	0.10052219321148825	unfiltered	15.0	data_7	20_sources
12	1022	100	0.09784735812133072	unfiltered	20.0	data_7	20_sources
13	2555	161	0.06301369863013699	unfiltered	50.0	data_7	20_sources
14	3833	216	0.05635272632402818	unfiltered	75.0	data_7	20_sources
15	5111	264	0.051653296810800234	unfiltered	100.0	data_7	20_sources
0	16	3	0.1875	$\alpha$=0.05	0.5	data_8	20_sources
1	32	4	0.125	$\alpha$=0.05	1.0	data_8	20_sources
2	64	7	0.109375	$\alpha$=0.05	2.0	data_8	20_sources
3	96	12	0.125	$\alpha$=0.05	3.0	data_8	20_sources
4	128	17	0.1328125	$\alpha$=0.05	4.0	data_8	20_sources
5	160	19	0.11875	$\alpha$=0.05	5.0	data_8	20_sources
6	192	24	0.125	$\alpha$=0.05	6.0	data_8	20_sources
7	224	28	0.125	$\alpha$=0.05	7.0	data_8	20_sources
8	256	33	0.12890625	$\alpha$=0.05	8.0	data_8	20_sources
9	288	37	0.1284722222222222	$\alpha$=0.05	9.0	data_8	20_sources
10	320	38	0.11875	$\alpha$=0.05	10.0	data_8	20_sources
11	480	53	0.11041666666666666	$\alpha$=0.05	15.0	data_8	20_sources
12	640	73	0.1140625	$\alpha$=0.05	20.0	data_8	20_sources
13	1600	128	0.08	$\alpha$=0.05	50.0	data_8	20_sources
14	2400	161	0.06708333333333333	$\alpha$=0.05	75.0	data_8	20_sources
15	3200	188	0.05875	$\alpha$=0.05	100.0	data_8	20_sources
0	12	2	0.16666666666666666	$\alpha$=0.05 (BH-adj)	0.5	data_8	20_sources
1	24	4	0.16666666666666666	$\alpha$=0.05 (BH-adj)	1.0	data_8	20_sources
2	49	6	0.12244897959183673	$\alpha$=0.05 (BH-adj)	2.0	data_8	20_sources
3	74	9	0.12162162162162163	$\alpha$=0.05 (BH-adj)	3.0	data_8	20_sources
4	99	12	0.12121212121212122	$\alpha$=0.05 (BH-adj)	4.0	data_8	20_sources
5	124	17	0.13709677419354838	$\alpha$=0.05 (BH-adj)	5.0	data_8	20_sources
6	149	19	0.12751677852348994	$\alpha$=0.05 (BH-adj)	6.0	data_8	20_sources
7	174	21	0.1206896551724138	$\alpha$=0.05 (BH-adj)	7.0	data_8	20_sources
8	199	24	0.12060301507537688	$\alpha$=0.05 (BH-adj)	8.0	data_8	20_sources
9	224	28	0.125	$\alpha$=0.05 (BH-adj)	9.0	data_8	20_sources
10	248	32	0.12903225806451613	$\alpha$=0.05 (BH-adj)	10.0	data_8	20_sources
11	373	40	0.10723860589812333	$\alpha$=0.05 (BH-adj)	15.0	data_8	20_sources
12	497	55	0.11066398390342053	$\alpha$=0.05 (BH-adj)	20.0	data_8	20_sources
13	1244	110	0.08842443729903537	$\alpha$=0.05 (BH-adj)	50.0	data_8	20_sources
14	1866	138	0.07395498392282958	$\alpha$=0.05 (BH-adj)	75.0	data_8	20_sources
15	2489	159	0.06388107673764563	$\alpha$=0.05 (BH-adj)	100.0	data_8	20_sources
0	28	4	0.14285714285714285	unfiltered	0.5	data_8	20_sources
1	57	7	0.12280701754385964	unfiltered	1.0	data_8	20_sources
2	115	16	0.1391304347826087	unfiltered	2.0	data_8	20_sources
3	173	20	0.11560693641618497	unfiltered	3.0	data_8	20_sources
4	231	29	0.12554112554112554	unfiltered	4.0	data_8	20_sources
5	288	37	0.1284722222222222	unfiltered	5.0	data_8	20_sources
6	346	39	0.11271676300578035	unfiltered	6.0	data_8	20_sources
7	404	43	0.10643564356435643	unfiltered	7.0	data_8	20_sources
8	462	51	0.11038961038961038	unfiltered	8.0	data_8	20_sources
9	519	59	0.11368015414258188	unfiltered	9.0	data_8	20_sources
10	577	66	0.11438474870017332	unfiltered	10.0	data_8	20_sources
11	866	86	0.09930715935334873	unfiltered	15.0	data_8	20_sources
12	1155	103	0.08917748917748917	unfiltered	20.0	data_8	20_sources
13	2887	178	0.06165569795635608	unfiltered	50.0	data_8	20_sources
14	4331	239	0.05518356037866543	unfiltered	75.0	data_8	20_sources
15	5775	288	0.04987012987012987	unfiltered	100.0	data_8	20_sources
0	17	3	0.17647058823529413	$\alpha$=0.05	0.5	data_9	20_sources
1	35	7	0.2	$\alpha$=0.05	1.0	data_9	20_sources
2	71	12	0.16901408450704225	$\alpha$=0.05	2.0	data_9	20_sources
3	107	16	0.14953271028037382	$\alpha$=0.05	3.0	data_9	20_sources
4	142	17	0.11971830985915492	$\alpha$=0.05	4.0	data_9	20_sources
5	178	17	0.09550561797752809	$\alpha$=0.05	5.0	data_9	20_sources
6	214	22	0.102803738317757	$\alpha$=0.05	6.0	data_9	20_sources
7	250	29	0.116	$\alpha$=0.05	7.0	data_9	20_sources
8	285	31	0.10877192982456141	$\alpha$=0.05	8.0	data_9	20_sources
9	321	34	0.1059190031152648	$\alpha$=0.05	9.0	data_9	20_sources
10	357	36	0.10084033613445378	$\alpha$=0.05	10.0	data_9	20_sources
11	535	53	0.09906542056074766	$\alpha$=0.05	15.0	data_9	20_sources
12	714	73	0.10224089635854341	$\alpha$=0.05	20.0	data_9	20_sources
13	1786	125	0.06998880179171332	$\alpha$=0.05	50.0	data_9	20_sources
14	2679	162	0.060470324748040316	$\alpha$=0.05	75.0	data_9	20_sources
15	3573	201	0.056255247691015954	$\alpha$=0.05	100.0	data_9	20_sources
0	15	3	0.2	$\alpha$=0.05 (BH-adj)	0.5	data_9	20_sources
1	30	6	0.2	$\alpha$=0.05 (BH-adj)	1.0	data_9	20_sources
2	60	10	0.16666666666666666	$\alpha$=0.05 (BH-adj)	2.0	data_9	20_sources
3	90	12	0.13333333333333333	$\alpha$=0.05 (BH-adj)	3.0	data_9	20_sources
4	120	16	0.13333333333333333	$\alpha$=0.05 (BH-adj)	4.0	data_9	20_sources
5	151	17	0.11258278145695365	$\alpha$=0.05 (BH-adj)	5.0	data_9	20_sources
6	181	17	0.09392265193370165	$\alpha$=0.05 (BH-adj)	6.0	data_9	20_sources
7	211	22	0.10426540284360189	$\alpha$=0.05 (BH-adj)	7.0	data_9	20_sources
8	241	28	0.11618257261410789	$\alpha$=0.05 (BH-adj)	8.0	data_9	20_sources
9	272	31	0.11397058823529412	$\alpha$=0.05 (BH-adj)	9.0	data_9	20_sources
10	302	32	0.10596026490066225	$\alpha$=0.05 (BH-adj)	10.0	data_9	20_sources
11	453	46	0.10154525386313466	$\alpha$=0.05 (BH-adj)	15.0	data_9	20_sources
12	604	60	0.09933774834437085	$\alpha$=0.05 (BH-adj)	20.0	data_9	20_sources
13	1511	112	0.07412309728656519	$\alpha$=0.05 (BH-adj)	50.0	data_9	20_sources
14	2267	146	0.06440229378032643	$\alpha$=0.05 (BH-adj)	75.0	data_9	20_sources
15	3023	178	0.058881905391994706	$\alpha$=0.05 (BH-adj)	100.0	data_9	20_sources
0	31	6	0.1935483870967742	unfiltered	0.5	data_9	20_sources
1	63	10	0.15873015873015872	unfiltered	1.0	data_9	20_sources
