	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
1	5	1	0.2	$\alpha$=0.05 (BH-adj)	1.0	data_5	5_sources
2	10	1	0.1	$\alpha$=0.05 (BH-adj)	2.0	data_5	5_sources
3	15	2	0.13333333333333333	$\alpha$=0.05 (BH-adj)	3.0	data_5	5_sources
4	20	4	0.2	$\alpha$=0.05 (BH-adj)	4.0	data_5	5_sources
5	25	7	0.28	$\alpha$=0.05 (BH-adj)	5.0	data_5	5_sources
6	30	9	0.3	$\alpha$=0.05 (BH-adj)	6.0	data_5	5_sources
7	35	10	0.2857142857142857	$\alpha$=0.05 (BH-adj)	7.0	data_5	5_sources
8	40	13	0.325	$\alpha$=0.05 (BH-adj)	8.0	data_5	5_sources
9	45	15	0.3333333333333333	$\alpha$=0.05 (BH-adj)	9.0	data_5	5_sources
10	50	16	0.32	$\alpha$=0.05 (BH-adj)	10.0	data_5	5_sources
11	75	22	0.29333333333333333	$\alpha$=0.05 (BH-adj)	15.0	data_5	5_sources
12	100	30	0.3	$\alpha$=0.05 (BH-adj)	20.0	data_5	5_sources
13	250	58	0.232	$\alpha$=0.05 (BH-adj)	50.0	data_5	5_sources
14	375	81	0.216	$\alpha$=0.05 (BH-adj)	75.0	data_5	5_sources
15	500	103	0.206	$\alpha$=0.05 (BH-adj)	100.0	data_5	5_sources
0	3	0	0.0	unfiltered	0.5	data_5	5_sources
1	6	1	0.16666666666666666	unfiltered	1.0	data_5	5_sources
2	13	2	0.15384615384615385	unfiltered	2.0	data_5	5_sources
3	20	4	0.2	unfiltered	3.0	data_5	5_sources
4	27	8	0.2962962962962963	unfiltered	4.0	data_5	5_sources
5	34	9	0.2647058823529412	unfiltered	5.0	data_5	5_sources
6	41	13	0.3170731707317073	unfiltered	6.0	data_5	5_sources
7	48	15	0.3125	unfiltered	7.0	data_5	5_sources
8	55	19	0.34545454545454546	unfiltered	8.0	data_5	5_sources
9	62	21	0.3387096774193548	unfiltered	9.0	data_5	5_sources
10	69	21	0.30434782608695654	unfiltered	10.0	data_5	5_sources
11	104	31	0.2980769230769231	unfiltered	15.0	data_5	5_sources
12	139	39	0.2805755395683453	unfiltered	20.0	data_5	5_sources
13	347	78	0.22478386167146974	unfiltered	50.0	data_5	5_sources
14	521	105	0.20153550863723607	unfiltered	75.0	data_5	5_sources
15	695	123	0.17697841726618704	unfiltered	100.0	data_5	5_sources
0	0	0	0.0	$\alpha$=0.05	0.5	data_6	5_sources
1	0	0	0.0	$\alpha$=0.05	1.0	data_6	5_sources
2	1	0	0.0	$\alpha$=0.05	2.0	data_6	5_sources
3	1	0	0.0	$\alpha$=0.05	3.0	data_6	5_sources
4	2	0	0.0	$\alpha$=0.05	4.0	data_6	5_sources
5	2	0	0.0	$\alpha$=0.05	5.0	data_6	5_sources
6	3	1	0.3333333333333333	$\alpha$=0.05	6.0	data_6	5_sources
7	4	1	0.25	$\alpha$=0.05	7.0	data_6	5_sources
8	4	1	0.25	$\alpha$=0.05	8.0	data_6	5_sources
9	5	2	0.4	$\alpha$=0.05	9.0	data_6	5_sources
10	5	2	0.4	$\alpha$=0.05	10.0	data_6	5_sources
11	8	4	0.5	$\alpha$=0.05	15.0	data_6	5_sources
12	11	5	0.45454545454545453	$\alpha$=0.05	20.0	data_6	5_sources
13	29	8	0.27586206896551724	$\alpha$=0.05	50.0	data_6	5_sources
14	44	10	0.22727272727272727	$\alpha$=0.05	75.0	data_6	5_sources
15	59	12	0.2033898305084746	$\alpha$=0.05	100.0	data_6	5_sources
0	0	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_6	5_sources
1	0	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_6	5_sources
2	0	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_6	5_sources
3	1	0	0.0	$\alpha$=0.05 (BH-adj)	3.0	data_6	5_sources
4	1	0	0.0	$\alpha$=0.05 (BH-adj)	4.0	data_6	5_sources
5	2	0	0.0	$\alpha$=0.05 (BH-adj)	5.0	data_6	5_sources
6	2	0	0.0	$\alpha$=0.05 (BH-adj)	6.0	data_6	5_sources
7	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	7.0	data_6	5_sources
8	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	8.0	data_6	5_sources
9	4	1	0.25	$\alpha$=0.05 (BH-adj)	9.0	data_6	5_sources
10	4	1	0.25	$\alpha$=0.05 (BH-adj)	10.0	data_6	5_sources
11	6	3	0.5	$\alpha$=0.05 (BH-adj)	15.0	data_6	5_sources
12	9	4	0.4444444444444444	$\alpha$=0.05 (BH-adj)	20.0	data_6	5_sources
13	23	8	0.34782608695652173	$\alpha$=0.05 (BH-adj)	50.0	data_6	5_sources
14	34	8	0.23529411764705882	$\alpha$=0.05 (BH-adj)	75.0	data_6	5_sources
15	46	10	0.21739130434782608	$\alpha$=0.05 (BH-adj)	100.0	data_6	5_sources
0	0	0	0.0	unfiltered	0.5	data_6	5_sources
1	1	0	0.0	unfiltered	1.0	data_6	5_sources
2	2	0	0.0	unfiltered	2.0	data_6	5_sources
3	4	1	0.25	unfiltered	3.0	data_6	5_sources
4	5	2	0.4	unfiltered	4.0	data_6	5_sources
5	7	3	0.42857142857142855	unfiltered	5.0	data_6	5_sources
6	8	4	0.5	unfiltered	6.0	data_6	5_sources
7	10	4	0.4	unfiltered	7.0	data_6	5_sources
8	11	5	0.45454545454545453	unfiltered	8.0	data_6	5_sources
9	13	7	0.5384615384615384	unfiltered	9.0	data_6	5_sources
10	14	7	0.5	unfiltered	10.0	data_6	5_sources
11	21	8	0.38095238095238093	unfiltered	15.0	data_6	5_sources
12	29	8	0.27586206896551724	unfiltered	20.0	data_6	5_sources
13	72	12	0.16666666666666666	unfiltered	50.0	data_6	5_sources
14	108	14	0.12962962962962962	unfiltered	75.0	data_6	5_sources
15	145	17	0.11724137931034483	unfiltered	100.0	data_6	5_sources
0	0	0	0.0	$\alpha$=0.05	0.5	data_7	5_sources
